Rank,Creator_URL,Creator,Creator1,Patrons,DaysRunning,Launched
1,https://graphtreon.com/creator/TrueCrimeObsessed,True Crime Obsessed is creating podcasts of the non-garbage variety (TrueCrimeObsessed),True Crime Obsessed,36661,921,Jan-18
2,https://graphtreon.com/creator/chapotraphouse,Chapo Trap House is creating Chapo Trap House Podcast (chapotraphouse),Chapo Trap House,34983,1539,May-16
3,https://graphtreon.com/creator/jimcantswim,Jim C. Swim is creating Criminology and Psychology Videos (jimcantswim),Jim C. Swim,33940,558,Jan-19
4,https://graphtreon.com/creator/YagamiYato,"Yagami Yato is creating Vocal Artistry, ASMR, And Interactive fiction! (YagamiYato)nsfw",Yagami Yato,28431,781,Jun-18
5,https://graphtreon.com/creator/mrshiu,è•­è‹¥å…ƒèªª is creating knowledge (mrshiu),è•­è‹¥å…ƒèªª,26070,340,Sep-19
6,https://graphtreon.com/creator/summertimesaga,DarkCookie is creating Summertime Saga (summertimesaga)nsfw,DarkCookie,24445,1454,Aug-16
7,https://graphtreon.com/creator/humansofnewyork,Brandon Stanton is creating Humans of New York (humansofnewyork),Brandon Stanton,20424,720,Aug-18
8,https://graphtreon.com/creator/theconsciouskid,The Conscious Kid is creating Parenting and Education Resources through a Critical Race Lens (theconsciouskid),The Conscious Kid,16739,313,Oct-19
9,https://graphtreon.com/creator/tinymeatgang,TMG is creating the Tiny Meat Gang Podcast (tinymeatgang),TMG,16613,1030,Oct-17
10,https://graphtreon.com/creator/amandapalmer,Amanda Palmer is creating with no intermission.  (amandapalmer),Amanda Palmer,14969,1986,Mar-15
11,https://graphtreon.com/creator/Kurzgesagt,Kurzgesagt â€“ In a Nutshell is creating Science Animation Videos (Kurzgesagt),Kurzgesagt â€“ In a Nutshell,14968,2536,Aug-13
12,https://graphtreon.com/creator/naddpod,Not Another D&D Podcast is creating Audio Adventures  (naddpod),Not Another D&D Podcast,14785,822,May-18
13,https://graphtreon.com/creator/allgasnobrakes,All Gas No Brakes is creating Interviews (allgasnobrakes)nsfw,All Gas No Brakes,14598,306,Oct-19
14,https://graphtreon.com/creator/TrueAnonPod,TrueAnon Podcast is creating ANTI-Pedophile Podcast & Intelligence Exposure stuff etc (TrueAnonPod),TrueAnon Podcast,14160,381,Jul-19
15,https://graphtreon.com/creator/mmoxreview,MxR Mods is creating Skyrim and Fallout 4 Mod videos (mmoxreview)nsfw,MxR Mods,14128,2214,Jul-14
16,https://graphtreon.com/creator/cgpgrey,CGP Grey is creating Youtube videos  (cgpgrey),CGP Grey,14044,2220,Jul-14
17,https://graphtreon.com/creator/petfoolery,Pet Foolery is creating Comics (petfoolery),Pet Foolery,13922,566,Jan-19
18,https://graphtreon.com/creator/Flagrant2,"Flagrant 2 is creating Podcast, Video, and more (Flagrant2)",Flagrant 2,13504,678,Oct-18
19,https://graphtreon.com/creator/cumtown,The Cum Boys is creating Cum Town Podcast (cumtown),The Cum Boys,12976,1504,Jun-16
20,https://graphtreon.com/creator/lastpodcastontheleft,Last Podcast On The Left is creating Podcasts (lastpodcastontheleft),Last Podcast On The Left,12479,2169,Sep-14
21,https://graphtreon.com/creator/contrapoints,ContraPoints is creating video essays and short films (contrapoints),ContraPoints,12362,1503,Jun-16
22,https://graphtreon.com/creator/lilydusk,Lilydusk is creating Adult Romance Comics + NSFW art (lilydusk)nsfw,Lilydusk,12245,1051,Sep-17
23,https://graphtreon.com/creator/secondcaptains,Second Captains is creating The  World Service Podcasts (secondcaptains),Second Captains,12111,1276,Feb-17
24,https://graphtreon.com/creator/jephjacques,Jeph Jacques is creating Comics (jephjacques),Jeph Jacques,11687,2262,May-14
25,https://graphtreon.com/creator/monstergirlisland,Redamz is creating Monster Girl Island (monstergirlisland)nsfw,Redamz,11503,1729,Nov-15
26,https://graphtreon.com/creator/meshedvr,Meshed VR is creating Adult VR Games and Simulations (meshedvr)nsfw,Meshed VR,10812,1115,Jul-17
27,https://graphtreon.com/creator/wickedwoohoo,TURBODRIVER is creating mods for The Sims 4 (wickedwoohoo)nsfw,TURBODRIVER,10224,1472,Jul-16
